SEID,Full Name,Designation Type
#0002223,AMINULLAH AMIN QUDDUS,Individual
#0002224,Aminullah AMIN,Individual
#0002225,Muhammad YUSUF,Individual
#0002226,ABDULHAI SALEK,Individual
#0002227,AHMAD JAN AKHUNDZADA SHUKOOR AKHUNDZADA,Individual
#0002229,AHMAD JAN AKHUNDZADA SHUKOOR AKHUNDZADA,Individual
#0002231,Ahmad Jan AKHUNZADA,Individual
#0002233,Ahmad Jan AKHUNZADA,Individual
#0002235,Ahmad Jan Akhund ZADA,Individual
#0002237,Ahmad Jan Akhund ZADA,Individual
#0002239,NOOR MOHAMMAD SAQIB,Individual
#0002241,NOOR MOHAMMAD SAQIB,Individual
#0002243,NOOR MOHAMMED SAQEB,Individual
#0002245,NOOR MOHAMMED SAQEB,Individual
#0002247,HAMDULLAH SUNANI,Individual
#0002248,SANANI,Individual
#0002249,SHAHABUDDIN DELAWAR,Individual
#0002250,SHAHABUDDIN DELAWAR,Individual
#0002251,ABDUL RAHMAN AGHA,Individual
#0002252,ABDUL RAHMAN AGHA,Individual
#0002253,HAMIDULLAH AKHUND SHER MOHAMMAD,Individual
#0002254,HAMIDULLAH AKHUND SHER MOHAMMAD,Individual
#0002257,HAMIDULLAH AKHUND SHER MOHAMMAD,Individual
#0002262,Hamidullah Akhund,Individual
#0002265,Hamidullah Akhund,Individual
#0002268,Hamidullah Akhund,Individual
#0002271,Janat Gul,Individual
#0002274,Janat Gul,Individual
#0002277,Janat Gul,Individual
#0002280,Saeed Hamidullah,Individual
#0002283,Saeed Hamidullah,Individual
#0002286,Saeed Hamidullah,Individual
#0002289,JAN MOHAMMAD MADANI IKRAM,Individual
#0002290,JAN MOHAMMAD MADANI IKRAM,Individual
#0002291,Azizirahman ABDUL AHAD,Individual
#0002292,Azizirahman ABDUL AHAD,Individual
#0002293,AZIZURAHMAN ABDUL AHAD,Individual
#0002294,AZIZURAHMAN ABDUL AHAD,Individual
#0002295,Abdul Manan MOHAMMAD ISHAK,Individual
#0002296,Abdul Manan MOHAMMAD ISHAK,Individual
#0002299,MOHAMMAD SARWAR Siddiqmal MOHAMMAD MASOOD,Individual
#0002300,Mohammad Sarwar Siddiqmal,Individual
#0002301,MOHAMMAD ZAHID,Individual
#0002302,ABDUL QADEER BASIR ABDUL BASEER,Individual
#0002306,Abdul Qadir Basir,Individual
#0002310,Ahmad Haji,Individual
#0002314,Abdul Qadir Haqqani,Individual
#0002318,Abdul Qadir,Individual
#0002322,NAZIRULLAH HANAFI WALIULLAH,Individual
#0002323,Nazirullah Aanafi WALIULLAH,Individual
#0002324,ABDUL GHAFAR QURISHI ABDUL GHANI,Individual
#0002325,ABDUL GHAFAR QURISHI ABDUL GHANI,Individual
#0002326,Abdul Ghaffar QURESHI,Individual
#0002327,Abdul Ghaffar QURESHI,Individual
#0002328,NAJIBULLAH MUHAMMAD JUMA,Individual
#0002329,Najib Ullah,Individual
#0002330,ABDUL WALI SEDDIQI,Individual
#0002331,ABDUL QUDDUS MAZHARI,Individual
#0002332,Akhtar Mohammad MAZ-HARI,Individual
#0002333,Mohammad Sadiq AMIR MOHAMMAD,Individual
#0002335,RAHMATULLAH KAKAZADA,Individual
#0002336,KAKAZADA,Individual
#0002337,NASIR,Individual
#0002338,REHMATULLAH,Individual
#0002339,MOHAMMAD ALEEM NOORANI,Individual
#0002340,ABDUL GHAFAR SHINWARI,Individual
#0002341,GUL AHMAD HAKIMI,Individual
#0002343,ABDULLAH HAMAD MOHAMMAD KARIM,Individual
#0002344,al-Hammad,Individual
#0002345,Abdul Hai Hazem ABDUL QADER,Individual
#0002346,Abdul Hai HAZEM,Individual
#0002347,Hamdullah ALLAH NOOR,Individual
#0002348,SIRAJUDDIN JALLALOUDINE HAQQANI,Individual
#0002350,SIRAJUDDIN JALLALOUDINE HAQQANI,Individual
#0002351,SIRAJUDDIN JALLALOUDINE HAQQANI,Individual
#0002353,SIRAJUDDIN JALLALOUDINE HAQQANI,Individual
#0002354,SIRAJUDDIN JALLALOUDINE HAQQANI,Individual
#0002361,SIRAJUDDIN JALLALOUDINE HAQQANI,Individual
#0002378,Abdul Satar Abdullah,Individual
#0002379,Abdul Satar Abdullah,Individual
#0002380,Abdul Satar Abdullah,Individual
#0002383,Abdul Satar Abdullah,Individual
#0002389,Abdul Satar Abdullah,Individual
#0002393,Abdul Satar Abdullah,Individual
#0002408,Saraj Haqani,Individual
#0002409,Saraj Haqani,Individual
#0002411,Saraj Haqani,Individual
#0002412,Saraj Haqani,Individual
#0002415,Saraj Haqani,Individual
#0002424,Saraj Haqani,Individual
#0002438,Serajuddin Haqani,Individual
#0002439,Serajuddin Haqani,Individual
#0002440,Serajuddin Haqani,Individual
#0002443,Serajuddin Haqani,Individual
#0002449,Serajuddin Haqani,Individual
#0002453,Serajuddin Haqani,Individual
#0002468,Siraj Haqani,Individual
#0002469,Siraj Haqani,Individual
#0002470,Siraj Haqani,Individual
#0002471,Siraj Haqani,Individual
#0002475,Siraj Haqani,Individual
#0002482,Siraj Haqani,Individual
#0002498,Siraj Haqqani,Individual
#0002499,Siraj Haqqani,Individual
#0002500,Siraj Haqqani,Individual
#0002503,Siraj Haqqani,Individual
#0002509,Siraj Haqqani,Individual
#0002513,Siraj Haqqani,Individual
#0002528,Khalifa,Individual
#0002529,Khalifa,Individual
#0002530,Khalifa,Individual
#0002531,Khalifa,Individual
#0002535,Khalifa,Individual
#0002540,Khalifa,Individual
#0002558,AMIR ABDULLAH,Individual
#0002559,Amir Abdullah SAHIB,Individual
#0002560,NASIRUDDIN HAQQANI,Individual
#0002561,NASIRUDDIN HAQQANI,Individual
#0002562,NASIRUDDIN HAQQANI,Individual
#0002563,NASIRUDDIN HAQQANI,Individual
#0002564,Alim GHAIR,Individual
#0002565,Alim GHAIR,Individual
